Titulo;Autores;Ano_Publicacao;Revista;Pais;DOI;Tipo_Investigacao;Dimensao_Temporal;Comparacao_Sujeitos;Amostra_Info;Marcadores_Amostra;Processos_Matematicos;Comparacao_Tarefa;Variaveis_Fisiologicas;Variaveis_Psicologicas;Variaveis_Comportamentais;Posicao_Eletrodos;Equipamento;Tecnologia_Eletrodos;Pre_Processamento;Faixas_Frequencia;Software_Analise;Abordagem_Estatistica;Classificacao_ML;Acesso_Dados;Revisor;Notas;Recomendacao
COMPUTER ESTIMATED ALPHA ATTENUATION DURING PROBLEM SOLVING IN CHILDREN WITH LEARNING DISABILITIES;Fuller, Peter W;1977;Electroencephalography and Clinical Neurophysiology;USA;10.1016/0013-4694(77)90022-0;Quase-experimental;Transversal (Cross-sectional);Entre-sujeitos (Between-subjects);21 boys in total. Experimental group: 10 boys with learning disabilities, aged 10.1–12.6 years (M = 11.3). Control group: 11 normal boys, aged 10.6–11.7 years (M = 11.2).;Learning Disabilities (LD);"mental arithmetic tasks. the abstract gives an example of a word problem: ""If James has 25 cents and spends 15 cents on penny candy, how many cents does he have left?""";5-minute resting baseline recording and to a task of immediate recall.;-;WISC Full Scale I.Q. (Wechsler Intelligence Scale for Children). Wide Range Achievement Test (WRAT). Metropolitan Achievement Test (MAT).;accuracy (number of correct responses);10–20 system, parietal, occipital;-;8 electrodes;frequency band of 0.5–50 c/sec. The FM tape recordings were digitized at 200 samples/sec. The computer output was checked for artifacts using the polygraph records. Average power of the alpha band during resting and task periods Features extracted: Alpha attenuation, defined as a manually measured amplitude decrease of at least 75% when the eyes were opened. Power spectra of the theta, alpha, and beta bands, calculated using a Radix 2 Fast Fourier Transform (FFT). The ratio of average power during task to resting power was calculated and then log-transformed.;theta, alpha , beta;-;Hotelling's T2 test, Fishers Exact Test, Simultaneous confidence intervals;-;1;Felipe;;
Differences of math anxiety groups based on two measurements, MASS and EEG;Choi-Koh, Sang S and Ryoo, Byeong G;2019;Educational Psychology;South Korea;10.1080/01443410.2018.1543857;Quase-experimental;Longitudinal;Misto (Mixed Design);25 eighth-grade students;mathematics anxiety, academic achievement, eighth-grade;understanding of quadratic functions, specifically the translation between their graphical (G) and algebraic (F) representations.;resting state, arithmetic warm-up (the study also compares two different types of functional tasks: Type F (equation-to-graph) and Type G (graph-to-equation);-;Mathematics Anxiety Scale for Students (MASS);Percent of correct answers (PCA, accuracy). Reaction time (RT). MASS scores.;parietal, central;-;-;P300 wave of the Event-Related Potentials (ERP);-;E-Prime;Non-parametric tests, Wilcoxon rank-sum test for comparing two independent samples (HAX/LAX vs. HAC/LAC), Wilcoxon matched-rank test.;-;1;Felipe;;
Discovering optimal brain states for problem solving with EEG;Choon Wu, Melody Jung, Derrick Lock, Eric Chao, e Tzyy-Ping Jung;2013;International IEEE/EMBS Conference on Neural Engineering, NER;USA;10.1109/NER.2013.6696049;Experimental;Longitudinal;Intra-sujeitos (Within-subjects), Grupo Único;The study included seven healthy subjects (2 females and 5 males), with ages ranging from 25 to 39 years. From this group, a subset of three participants was used for the longitudinal analysis.;-;mental arithmetic tasks with combination of 4 numbers;The study does indeed compare the main mathematical task against a control condition. Specifically, the primary task of solving 'Math24' puzzles is compared to a basic addition task , which serves as the study's baseline.;-;-;Solution latency, which was the time measured from the presentation of the puzzle until the participant signaled a solution with a mouse click , and the accuracy of each answer, which an experimenter evaluated to distinguish correct from incorrect trials. Additionally, a key behavioral variable was the self-assessment of insight, where participants used a five-point scale after each trial to subjectively rate the experience they had in reaching the solution.;F3, F4, C3, C4, P3, P4, O3, O4, Fz, Cz, Pz e Oz, frontal, central, parietal, occipital;BioSemi ActiveTwo 128 channels;128-channel.twelve standard electrode positions.;ICA.ERSP,PSD,LogPower;Teta (4-7 Hz) ,Alfa (8-13 Hz) ,Beta (14-30 Hz) ,Gama(30-50 Hz);MATLAB(EEGLAB);on-parametric, permutation-based significance test, which was conducted at each time-frequency point on the ERSP maps. An alpha level of α=0.03 was used to determine significance, and points that did not meet this threshold were zeroed out as a method of correcting for multiple comparisons.;-;1;João;;
Eating breakfast enhances the efficiency of neural networks engaged during mental arithmetic in school-aged children;Pivik, R.T. and Tennal, Kevin B. and Chapman, Stephen D. and Gu, Yuyuan;2012;Physiology and Behavior;USA;10.1016/j.physbeh.2012.03.034;Experimental;Longitudinal;Misto (Mixed Design);81 healthy children, 44 girls // 37 boys.Experimental group (Fed group): 40 children (18 boys and 22 girls) , aged 8–11 years (M = 9.78 years) .Control group (Fasting group): 41 children (19 boys and 22 girls) , aged 8–11 years (M = 9.78 years);-;Time-regulated mental arithmetic task;The article does not compare the mathematical task with another control activity (such as a resting state, reading, or a non-numerical task) during the experiment. The comparisons made in the study are of two types. The main between-groups comparison is between the performance and brain activity during the math task of two different groups of children: those who ate breakfast (fed group) versus those who continued to fast (fasting group).;EOG,Sleep monitoring,Blood glucose levels;IQ;Accuracy,Reaction Time;F3,F4,P3,P4, frontal, parietal;Electro-Cap International, Inc.;in electrodes were used in an elastic cap , which implies the use of gel to ensure conductivity and maintain low impedance (<10 kΩ),8 scalp EEG channels were recorded (F3, F4, C3, C4, P3, P4, O1, O2) , in addition to mastoid electrodes.;For feature extraction, a Continuous Wavelet Transform (Morlet) was applied to these trials to analyze time-frequency information. The primary features extracted were the spectral power values, expressed in dB , which were averaged across an 800 ms post-stimulus window for five distinct frequency bands.;delta (2–4 Hz), lower and upper theta (4–6 Hz and 6–8 Hz), and lower and upper alpha (8–10 Hz and 10–12 Hz).;Matlab,SPSS Statistics 17.0;(ANOVA) and t-tests. Specifically;-;1;João;;
EEG AND SLOW CORTICAL POTENTIALS IN ANTICIPATION OF MENTAL TASKS WITH DIFFERENT HEMISPHERIC INVOLVEMENT;Birbaumer N and Elbert T and Lutzenberger W and Rockstroh B and Schwarz J;1981;Biological psychology;Netherlands;10.1016/0301-0511(81)90040-5;Experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);The volunteers were 16 right-handed male students between the ages of 18 and 30. It was also ensured that they had no left-handed family members.;The study's sample was comprised of 16 right-handed male student volunteers between the ages of 18 and 30. The subjects' right-handedness was formally assessed by the Edinburgh Handedness Inventory, and it was also ensured that they had no left-handed family members.;Mental arithmetic,basic addition and subtraction;In the study, the mathematical task was compared to a pattern matching task.;EOG;-;Accuracy,Reaction Time;C3 e C4 T3 e T4, central, temporal;Beckman A-C 9806;10 electrodes (Grass EC 2. Paste);Slow Cortical Potentials (SCPs) / ERP Components,Spectral Power (Frequency Features)//Preprocessing Steps: AS filtering,during acquisition, a filter was applied with an upper cut-off frequency (a low-pass filter) of 30 Hz for the central electrodes and 10 Hz for the temporal electrodes. A time constant of 30 seconds also served as a high-pass filter.For the Baseline Correction,the data for the slow cortical potentials (SCPs) were referred to a 1-second baseline period that occurred before the warning stimulus (S1).Artifact Rejection: Trials were entirely excluded from the analysis if the mean signal deviation exceeded a predefined voltage threshold. The thresholds were 75 µV for the EEG, 100 µV for the vertical EOG, and 30 µV for the horizontal EOG. This process resulted in the exclusion of 24.4% of all trials.;Alpha: 8–12 Hz. Beta 12.4–20 Hz.;-;ANOVAs,t-tests to perform specific comparisons on the results from the beta band power analysis;-;1;João;;
EEG-Based Cortical Localization of Neural Efficiency Related to Mathematical Giftedness;Zhang, Li and Wang, Haixian and Gan, John Q.;2013;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);China;10.1007/978-3-642-42054-2_4;Quase-experimental;Transversal (Cross-sectional);Misto (Mixed Design);The study's volunteers were divided into two distinct groups of adolescents. The math-gifted group included 8 participants (5 males and 3 females) with a mean age of 16.5. In contrast, the control group was composed of 7 students (5 males and 2 females) with a mean age of 16.3. All subjects were right-handed, and any individual with a history of neurological illness or brain injury was excluded from the study.;Mathematical Giftedness,Average-Level Performance,Exclusion Markers (Health Screening),Specific Context Marker (Educational).;numerical inductive reasoning,Rule Induction,Rule Application;In this study the brain activity during the mathematical task is compared to a resting state baseline.;EOG;-;Reaction Time,Accuracy / Hit and Error Rates;F1, F3, F6,C1, C3, C4, P2, P3, P4, POZ, and OZ). frontal, parietal, occipital;Neuroscan international 10-20 system 60 channels;The study used a 60-channel 10-20 system for EEG placement. The primary area of interest was the fronto-parietal network , with the main analyses focusing on gamma-band activity in the frontal, sensorimotor, and parietal cortical regions.;Bandpass-filtered between 1Hz and 60 Hz, Baseline corretion for extraction, artifcat rejection from the data after baseline-correction. As Features we can highlight event-relate synchronization ( ERS/ ERD), calculated to represent the % of the power change relative toa baseline resting state. GBR (Gamma response), and PSD.;Gamma (35-45) Hz;it doesnt specifies;LDA + Cross-validation + SFFS for selection, the study doesnt specifies methods like anova or t-student tests, or anything more statistical;Linear Discriminant Analysis (LDA) classifier. It was employed as the central component of a feature selection method called a Sequential Forward Floating Search (SFFS) algorithm. SFFS selected different combinations of EEG channels, and the LDA model was then used to evaluate how well each combination could discriminate between the subject groups and task conditions,then using cross-validation;1;João;;
Electroencephalograph (EEG) based classification of mental arithmetic using explainable machine learning;Aslam, Murtaza and Rajbdad, Fozia and Azmat, Shoaib and Perveen, Kausar and Naraghi-Pour, Morteza and Xu, Jian;2025;Biocybernetics and Biomedical Engineering;USA;10.1016/j.bbe.2025.02.002;Estudo Metodológico;Retrospectivo;Misto (Mixed Design);"The study utilized a database including signals of EEG between 36 participants.Those participants were separated between two groups , Group ""G"": 24 subjects who performed good-quality calculations.Group ""B"": 12 subjects who performed bad-quality calculations.";"Health Status: The participants are described as healthy subjects. Specific Context (Task Performance): Data was collected from all subjects under two conditions: a resting state and while performing a mental arithmetic task involving serial subtractions. Performance-based Grouping: The participants were explicitly categorized into two distinct groups based on their performance in the task: a ""Group 'G' (24 subjects) performing good-quality calculations"" and a ""Group 'B' (12 subjects) performing";mental arithmetic. Specifically,serial subtraction,;The brain activity while performing the mental arithmetic task was directly compared with the brain activity from the same participant during a resting state.;-;-;quality of the mental arithmetic calculations;Fp1, F3, F4, e F8 ,T3, T4, e T5 10-20, anterior frontal, frontal, central;Neurocom 23 channels;19 electrodes;Notch Filter,ICA.;Delta (0.5–4 Hz),Teta (4–7 Hz),Alfa (7–14 Hz),Gama (>25 Hz);-;Classifier Performance Metrics,ROC Curve and AUC,Cross-Validation:;Random Forest,Support Vector Machine,Linear Discriminant Analysis,k-Nearest Neighbors;1;João;;
Electrophysiological markers of poor versus superior math abilities in healthy individuals;Proverbio, Alice M. and Carminati, Manuel;2019;European Journal of Neuroscience;ITALY;10.1111/ejn.14363;Observacional / Não-experimental;Transversal (Cross-sectional);Misto (Mixed Design);"26 individuals were selected for the EEG recordings and were subdivided into two groups of 13, representing the best (""skilled"") and worst (""poor"") performers. The final sample included in the analysis consisted of 22 participants.";The primary marker was arithmetic ability, which was used to divide the sample into two groups.;The study investigated the cognitive processes involved in solving basic arithmetical operations, specifically additions, subtractions, multiplications, and divisions. The core mathematical task was a verification paradigm in which participants were presented with an arithmetic problem followed by a proposed solution and had to decide as quickly and accurately as possible whether that solution was correct or incorrect.;The brain activity (ERP) evoked by the presentation of a correct solution is directly compared to the brain activity evoked by the presentation of an incorrect solution.Therefore, the comparison is not with a task of a different nature (such as reading or a resting state), but rather a comparison between two conditions within the arithmetic paradigm itself.;EOG,EMG;-;Accuracy,Reaction Time,Response Hand;Fz,FCz,Cz 10-5, frontal, central;Based on the methodology described in the article, the EEG recording was performed using the EEvoke software package, manufactured by ANT (Enschede), with a 128-channel system. The article does not specify the model of the amplifier or the electrode cap.;"The EEG was recorded using 128 channels (or ""scalp sites"") with the average mastoids serving as the physical reference lead. The electrode cap layout was arranged according to the international 10-5 system.";Based on the article's methodology, the EEG data preprocessing involved a 0.016-100 Hz band-pass filter,the continuous data was segmented into epochs from -100 to 1,500 ms. The feature extraction focused exclusively on Event-Related Potentials (ERPs), specifically measuring the mean area amplitude and the peak latency of the P300 component as the primary features.;-;EEGLAB,EEProbe (ANT, Enschede),EEvoke (ANT, Enschede;ANOVA applied separately to both the EEG data (P300 amplitude and latency) and the behavioral data (reaction times and hit percentages).;-;2;João;dados podem ser solicitados;
Enhanced learning of proportional math through music training and spatial-temporal training;Graziano AB and Peterson M and Shaw GL;1999;Neurological research;USA;10.1080/01616412.1999.11740910;Quase-experimental;Longitudinal;Misto (Mixed Design);The article details the samples for two separate studies: a pilot and a main study. The pilot study included 102 second-grade children with an age range of six years eight months to eight years five months. For the four-month main study, researchers recruited 170 second-graders , but 34 students withdrew, leaving a final sample of 136 children. The age of the participants in the main study ranged from six years eight months to eight years ten months at the time of pretesting.;"The pilot study drew participants from two schools with contrasting backgrounds: one was a ""below-average demographics school"" (School SA) , and the other was an ""above-average demographics school"" (IR) , with this difference being confirmed by baseline Stanford 9 math scores. In contrast, the main study's sample was drawn entirely from a single Los Angeles school (LA) described as being ""below-average"" in both demographics and academic achievement and was ranked among the city's 100 poorest-performing schools.";The central mathematical processes investigated in the article are proportional math and fractions. .;"In this research, the mathematical task was primarily compared against two control conditions. The main active control was a non-numeric, verbal task where children engaged in English language training on computers, using software designed to teach reading, spelling, and writing. This was benchmarked against a baseline ""No Lesson"" control group that received no specific training, allowing researchers to measure the math task's effects against both a different cognitive activity and the absence of intervention.";-;-;During the Spatial-Temporal (ST) Math Video Game training, key measures included the final score, hit/error rates, and response speed, as points were awarded for correct responses while incorrect or slow responses resulted in a point reduction.;-;-;-;-;-;-;-;-;-;João;;
Entropy reduction in human mathematical thinking: a microstate study of EEG oscillations;Krause, Werner and Schack, Barbara and Seidel, Gundula and Heinrich, Frank and Krause, Ursula;2001;Neuroimage;Germany;-;Observacional / Não-experimental;Longitudinal;Entre-sujeitos (Between-subjects);The study's sample consisted of 24 right-handed participants divided into two groups of twelve. The highly mathematical gifted subjects ranged in age from 16 to 24 years, with a mean age of 17.9, while the normal subjects were between 16 and 18 years old, with a mean age of 17.5.;The primary distinction was mathematical ability, which correlated with their enrollment in either a special mathematical high school or an ordinary one. All participants were confirmed to be right-handed and were screened to be free from nervous diseases or injury, with normal resting EEGs.;Numerical Mental Calculation,computational strategy, This refers to solving problems through computation and applying formulas, such as using the equation of Pythagoras.Figural Mental Calculation,Imagery Strategy,This involves reaching a solution based on a visual mental imagery strategy, such as visualizing triangles and squares.;"The EEG analysis was focused exclusively on the problem-solving period. The methodology states that ""The EEG was analyzed in the time interval between the end of text reading and the answer, artefacts were excluded"". Therefore, the study's primary comparison is not between different tasks, but between the two groups of participants (gifted vs. normal).";-;IQ, Mental Rotation, Memory Capacity;Response Latency,Percentage of Errors,Self-assessments;F7/F3,C3/P3,C4/P4,international 10-20 system. frontal, parietal;Brainstar EEG;19 electrodes, Ag/AgCl (Silver/Silver-Chloride), two linked ear-lobe electrodes,10-20 int. system;Band-pass Filter: The EEG data was filtered with a 70 Hz low-pass filter and a 0.3 Hz high-pass filter.The article mentions that artifact exclusion but it does not detail the method.;specific at 13-18 Hz;Brainstar EEG software;z-value,Configuration Frequency Analysis,Bonferroni-Holm correction;-;1;João;;
Evaluating the effect of mathematical anxiety in healthy subjects on brain signal using swLORETA analysis;;2025;Learning and Motivation;Iran;10.1016/j.lmot.2025.102130;Experimental;Transversal (Cross-sectional);Misto (Mixed Design);22 individuals took part in the final experiment, consisting of 9 men and 13 women. The participants had an average age of 24.195 years.;The primary selection marker was a score between 30-50 on the Spielberger State-Trait Anxiety Inventory, indicating mild to moderate anxiety, and they were also screened using the Adult ADHD Self-Report Scale (ASRS). Before the EEG recording, participants were asked to refrain from smoking, caffeine, and sedatives for 12 hours;Mental arithmetic calculation under pressure. The task involved a 13-minute mental math test composed of 30 questions, divided equally into 15 easy and 15 challenging problems.;During the experiment, the brain activity from the mathematical task is compared to a resting state baseline. Before the test, an EEG baseline was recorded for 2 minutes while the participant was in a resting state with their eyes open, without performing any specific tasks or cognitive engagement.;-;STAI, ASRS;accuracy;Fp1-Fp2-F3-F4-C3-C4-P3-P4-01-02-F7-F8-T3-T4-T5-T6-Fz-Pz-Cz, international 10-20, temporal , parietal;Mitsar-202 (Mitsar Co. Ltd. Saint Petersburg, Russia)+electrocap;19 electrodes;Independent Component Analysis (ICA), and manual artifact rejection. A band-pass filter between 0.3 Hz and 70 Hz was used to remove motion artifacts , and a notch filter at 45-55 Hz was applied to eliminate line interference.;Theta: 4–8 Hz. Beta:12–25 Hz.;WinEEG,Neuroguide (versão 3.0.8.1),Neuronavigator,MATLAB,SPSS (versão 18.0 para Windows) WinEEG,Neuroguide (versão 3.0.8.1),Neuronavigator,MATLAB,SPSS (versão 18.0 para Windows);Began with the Shapiro-Wilk test to evaluate the normality of the data distribution, which was rejected as the results were significant (p<0.05). Consequently, the non-parametric Wilcoxon signed-rank test was deployed to analyze the primary EEG data, specifically to compare the theta/beta ratio between the resting state and the math test state within each group. Additionally, an independent sample t-test was used.;-;2;João;interessantes softwares;
Gaussian Behavior of the Electroencephalogram: Changes during Performance of Mental Task;Elul, Rafael;1969;Science;USA;10.1126/science.164.3877.328;Experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);"1 adult subject; age not specified";-;Mental arithmetic;Idle state;-;-;-;Midline, fronto-occipital electrode configuration (bipolar);IBM-7094 computer;"Standard scalp leads; Bipolar configuration; Ground on left ear lobe";"Filters (0.3 to 70 cycle/sec bandpass); Analog-to-digital conversion (200/sec); Epoching (2-second blocks); Normalization of area to unity.";-;Fortran IV program;"goodness-of-fit test; Correction for Type I statistical error";-;1;Suzana;;
Gender difference in problem solving based on electroencephalogram (EEG) signals;Safri, Norlaili Mat and Sha'Ameri, Ahmad Zuri and Daliman, Shaparas and Samah, Narina A. and Ousai, Siti Zalihah;2018;2nd International Conference on BioSignal Analysis, Processing and Systems, ICBAPS 2018;Malaysia;10.1109/ICBAPS.2018.8527387;Experimental;Transversal (Cross-sectional);Misto (Mixed Design);"29 undergraduate students (16 female, 13 male); Age not specified (1st and 4th year undergraduates)";Gender;"Problem solving; Mental arithmetic task; Tower of Hanoi (TOH) task";Control task (rest with eyes open but empty mind);-;-;"Accuracy (mental arithmetic final value); Success/Error Rate (ability to complete TOH within 2 minutes)";"Frontal (F), Temporal (T), Occipital (O), Pz; 19 channels";NeuroFax EEG 9000 signal acquisition software;"Scalp electrode/Cap electrode; 19 channels";"Analysis methods used: Partial Directed Coherence (PDC) and Power Spectrum Estimation (PSE); Other pre-processing steps not explicitly detailed";"Delta (0-4 Hz); Theta (4-8 Hz); Alpha (8-13 Hz); Beta (13-31 Hz); Gamma (31-51 Hz); High Gamma (51-120 Hz)";"C-program (running on a Linux platform); Microsoft Excel (for t-test)";"Student t-test; Calculation of high performance vs. low performance statistics";-;1;Suzana;;
Gender-Dependent Frequency–Spatial Organization of the Brain Cortex Activity during Convergent and Divergent Thinking: II. Analysis of the EEG Coherence;Razoumnikova, O.M.;2005;Human Physiology;Russia;10.1007/s10747-005-0045-9;Experimental;Transversal (Cross-sectional);Misto (Mixed Design);"66 students (36 men and 30 women); 17- to 23-year-olds";Gender;Convergent Thinking (CTh), simulated by arithmetical addition (mental arithmetic);Baseline conditions;-;-;"Performance efficiency (successful/unsuccessful in solving the divergent task); Subjects' responses (conveyed via microphone)";"16 symmetrical sites of the right and left hemispheres; Sites: Fp1, Fp2, F3, F4, F7, F8, C3, C4, P3, P4, T3, T4, T5, T6, O1, O2; Regions: Frontal, centro-parieto-occipital, temporal; International 10-20 System";"Medicor encephalograph (Hungary); IBM AT-386 personal computer";"16 electrodes; Monopolar recording; Linked earlobe electrode reference";"Time constant 0.3 s; 30-Hz low-pass filter; Analog-to-digital conversion; Analysis of artifact-free 2-s EEG segments (artifact removal implied)";"$\theta_1$ (4-6 Hz); $\theta_2$ (6-8 Hz); $\alpha_1$ (8-10 Hz); $\alpha_2$ (10-13 Hz); $\beta_1$ (13-20 Hz); $\beta_2$ (20-30 Hz)";"Neirokartograf (MBN, Moscow); Statistica for Windows (StatSoft, 1993)";"Student's t-test; Analysis of variance (ANOVA) (Factors: GEN, TEST, FB, LAT, GR)";-;1;Suzana;;
Identifying Gifted Thinking Activities Through EEG Microstate Topology Analysis;Zhang, Li and Cao, Mingna and Shi, Bo;2016;Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics);China;10.1007/978-3-319-46687-3_13;Quase-experimental;Transversal (Cross-sectional);Misto (Mixed Design);"15 total (8 gifted, 7 non-gifted); Gifted: 16.5 ± 0.7 years; Non-gifted: 16.3 ± 0.8 years";Math-gifted adolescents;Deductive Reasoning (with implications for math-gifted thinking/cognitive processing);Resting state (eyes-open) baseline (pre-stimulus periods);EOG (via 4 surface electrodes monitoring ocular movements and eye blinks);-;Accuracy/Error rate (judgement of conclusion correctness);"Frontal, parietal, temporal, occipital regions (covered by 60 data electrodes); International 10-20 system (implied)";"Neuroscan international 10-20 system (EEG); E-Prime 2.0 (Stimuli)";"60 data electrodes; 2 reference electrodes (bilateral mastoids)";"Band-pass filtering (1-30 Hz); Baseline-correction; Artifacts rejection; ICA (for ocular and muscle movement artifacts); Epoching (3000 ms)";-;"Cartool EEG analysis software; EEGLAB Toolbox; Matlab Statistics Toolbox";"ANOVA (one-way); Bonferroni Corrections; Statistical testing for topological distribution";"k-means clustering; LDA; SVM; Naive Bayes classifiers; 10-fold cross validation; Accuracy";1;Suzana;;
MATHEMATICALLY GIFTED ADOLESCENTS MOBILIZE ENHANCED WORKSPACE CONFIGURATION OF THETA CORTICAL NETWORK DURING DEDUCTIVE REASONING;Zhang, L. and Gan, J.Q. and Wang, H.;2015;Neuroscience;China;10.1016/j.neuroscience.2014.12.072;Quase-experimental;Transversal (Cross-sectional);Misto (Mixed Design);"24 adolescents (11 Math-gifted, 13 Control); Ages 15-18 years (Gifted: mean $16.3 \pm 0.6$ years; Control: mean $15.9 \pm 0.7$ years)";Mathematically gifted adolescents vs. Average-ability control subjects;Deductive Reasoning (verbal-logical categorical syllogism task);Pre-stimulus interval/Resting state;EOG (Electrooculographic signals);RAPM (Raven's Advanced Progressive Matrices) score (as an intelligence level criterion);"Reaction time of correct responses; Response accuracy";Regions: Fronto-parietal, anterior cortical vertices, frontal midline (fm theta). Positions: FZ, FCZ, F1-F8, AF3-PO3. System: Neuroscan international 10-20 system.;"Neuroscan international 10-20 system (EEG); E-Prime 2.0 (Stimuli); Scan 4.3 software (Preprocessing)";"60 data channels; Reference: Bilateral mastoids; Layout: International 10-20 system.";"Band-pass filtering (1-60 Hz); Epoching (9500 ms); Baseline-correction; Ocular artifacts removal; Artifact rejection; ICA (Independent Component Analysis).";"Theta-band (4-8 Hz); Frequencies from 4 to 50 Hz (analyzed in time-frequency plots).";"Scan 4.3 software; EEGLAB toolbox; Brainstorm toolbox; OpenMEEG.";"One-way ANOVA; Bootstrapping statistical test; Pearson's correlation coefficient; Louvain method (for modularity).";"LDA (Linear Discriminant Analysis); Validation: 10-fold cross validation; Metrics: Accuracy.";1;Suzana;;
Measures and models for predicting cognitive fatigue;Trejo, Leonard J. and Kochavi, Rebekah and Kubitz, Karla and Montgomery, Leslie D. and Rosipal, Roman and Matthews, Bryan 2005 Proceedings of SPIE - The International Society for Optical Engineering 10.1117/12.604286;2005;Biomonitoring for Physiological and Cognitive Performance during Military Operations,;USA;;Experimental;Longitudinal;Intra-sujeitos (Within-subjects);"16 participants (12 males, 4 females); Mean age 26.9 (SD=7.4) years (Range 18-38 y in abstract)";-;Mental arithmetic (addition and subtraction summation problems);Time on task (e.g., first 15 minutes vs. last 15 minutes);EOG (Vertical and Horizontal Electrooculograms - VEOG and HEOG);"Activation Deactivation Adjective Checklist (AD-ACL); Visual Analogue Mood Scale (VAMS)";"Response Time (RT); Response Accuracy; Observed Activity and Alertness (from videotaped recordings)";"Fz (Frontal theta); Pz (Parietal alpha); O2, Fz, CPz (ERP components)";Neuroscan Synamps™ system (64-channel);"Ag/AgCl electrodes; 32 EEG channels (embedded in a Quik-Cap™); Electronically linked mastoids reference";"Filtering (50 Hz low pass); EOG artifact detection/elimination; Manual/Automated artifact rejection (absolute voltages > 100 $\mu$V); EOG regression/correction (multivariate linear regression with wavelet-denoised EOG); Epoching";"Theta (at Fz); Alpha (at Pz); 0-64 Hz (for power spectra estimation)";Neuroscan Scan 4.2 and Scan 4.2 EditTM software;"Doubly/Singly multivariate Repeated Measures ANOVA; Within-subjects contrasts; Huynh-Feldt correction";"KPLS-DLR (Kernel Partial Least Squares Decomposition with Discrete-output Linear Regression); KPLS-SVC (Support Vector Classifier) tested; Five-fold cross-validation; Test set accuracies";1;Suzana;;
Multi-aspect data analysis for investigating human computation mechanism;Motomura, Shinichi and Zhong, Ning;2010;Cognitive Systems Research;Japan;10.1016/j.cogsys.2008.08.010;Observacional / Não-experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);"EEG: 10 subjects; fMRI: 11 subjects; Age: - (Not specified); Markers: Healthy subjects (Implied, no diagnosis mentioned)";-;"Human computation mechanism; Mental arithmetic/Addition problem";Compared to Off-task (looking at random numbers) and No-task (relaxed state);EOG (Eye movement measurement - 2 channels);-;-;"Fz, Oz, C5, CPz, AF3, CP3 (used for specific analyses); Extended International 10-20 system";"BrainAmp amplifier (Brain Products, EEG); 3T Siemens system (fMRI); Brain Vision Analyzer (EEG analysis); Statistical Parametric Mapping (SPM2) (fMRI analysis)";"128 channels; Extended international 10-20 system; Reference: - (Not specified)";"Ocular correction; Filter (BPF: 0.5-80 Hz); Baseline correction; Artifact rejection; Slice timing correction; Realignment; Normalization; Smoothing (FWHM=10)";Delta (Sub-Delta), Theta, Alpha, Beta;"Brain Vision Analyzer (EEG analysis); Statistical Parametric Mapping (SPM2) (fMRI analysis)";"Averaging/ERP derivation; Statistical Thresholding (uncorrected voxel-level intensity threshold of p<0.01 for fMRI)";-;1;Suzana;;
Multi-channel EEG Signal Analysis for Mental Arithmetic Task Classification using Hybrid CNN- LSTM Model;G. Sirigudi and H. K. Goru and N. K. Reddy Gadi and S. M. Penumaka;2025;2025 3rd International Conference on Inventive Computing and Informatics (ICICI);India;10.1109/ICICI65870.2025.11069580;Experimental;Transversal (Cross-sectional);Intra-sujeitos (Within-subjects);"36 subjects; Age not specified";-;Mental Arithmetic Task (MAT);Before Task condition (Baseline/Rest);-;-;-;"International 10/20 system; 23 channels";"Neurocom 23-channel system; MATLAB R2023b";"Silver or silver chloride electrodes; 23 channels; Reference to ear electrodes";"Band-pass Butterworth filter of order 2 (0.5 Hz high-pass, 45 Hz low-pass); 50 Hz notch filter; Z-score normalization; Referencing to ear electrodes; Epoching (non-overlapping chunks, 35s window size)";-;MATLAB R2023b;-;"Hybrid CNN-LSTM model; Validation: 80% training, 10% validation, 10% testing split; Metrics: Accuracy, Sensitivity, Specificity, Precision, MCC, Kappa, F1-score";3;Suzana;;
